articulo,Total,organismo_sigla
CONTRATACION DE MANO DE OBRA,0.2,ANC
CONTRATACION DE MANO DE OBRA,0,ANEP
CONTRATACION DE MANO DE OBRA,13.7,ANP
CONTRATACION DE MANO DE OBRA,0.4,ASSE
CONTRATACION DE MANO DE OBRA,0,BSE
CONTRATACION DE MANO DE OBRA,0.2,I. Canelones
CONTRATACION DE MANO DE OBRA,0.3,I. Colonia
CONTRATACION DE MANO DE OBRA,0,INAU
CONTRATACION DE MANO DE OBRA,1.4,MDN
CONTRATACION DE MANO DE OBRA,0.1,MEC
CONTRATACION DE MANO DE OBRA,0,MEF
CONTRATACION DE MANO DE OBRA,0.9,MGAP
CONTRATACION DE MANO DE OBRA,0.4,MI
CONTRATACION DE MANO DE OBRA,0.1,MIDES
CONTRATACION DE MANO DE OBRA,0,MIEM
CONTRATACION DE MANO DE OBRA,0.2,MRREE
CONTRATACION DE MANO DE OBRA,0,MTOP
CONTRATACION DE MANO DE OBRA,0,MTSS
CONTRATACION DE MANO DE OBRA,85.6,OSE
CONTRATACION DE MANO DE OBRA,0.3,Presidencia
CONTRATACION DE MANO DE OBRA,227.3,UTE
CONTRATACION DE MANO DE OBRA,0.8,UdelaR
LIMPIEZA DE HOSPITAL,0,ASSE
LIMPIEZA DE HOSPITAL,1.8,BSE
LIMPIEZA DE HOSPITAL,0,MDN
LIMPIEZA DE HOSPITAL,0,UdelaR
LIMPIEZA INTEGRAL DE LOCALES,1.3,ANC
LIMPIEZA INTEGRAL DE LOCALES,13.4,ANEP
LIMPIEZA INTEGRAL DE LOCALES,2.5,ANP
LIMPIEZA INTEGRAL DE LOCALES,0,ASSE
LIMPIEZA INTEGRAL DE LOCALES,0,BHU
LIMPIEZA INTEGRAL DE LOCALES,3.9,BPS
LIMPIEZA INTEGRAL DE LOCALES,1.4,BROU
LIMPIEZA INTEGRAL DE LOCALES,1.1,BSE
LIMPIEZA INTEGRAL DE LOCALES,0,Div.Créd.
LIMPIEZA INTEGRAL DE LOCALES,1.5,FGN
LIMPIEZA INTEGRAL DE LOCALES,4.1,I. Canelones
LIMPIEZA INTEGRAL DE LOCALES,56.2,I. Montevideo
LIMPIEZA INTEGRAL DE LOCALES,0.8,INAU
LIMPIEZA INTEGRAL DE LOCALES,0.1,INUMET
LIMPIEZA INTEGRAL DE LOCALES,0,JUTEP
LIMPIEZA INTEGRAL DE LOCALES,2.8,MDN
LIMPIEZA INTEGRAL DE LOCALES,4.1,MEC
LIMPIEZA INTEGRAL DE LOCALES,2.9,MEF
LIMPIEZA INTEGRAL DE LOCALES,1.8,MGAP
LIMPIEZA INTEGRAL DE LOCALES,5,MI
LIMPIEZA INTEGRAL DE LOCALES,3,MIDES
LIMPIEZA INTEGRAL DE LOCALES,0.2,MIEM
LIMPIEZA INTEGRAL DE LOCALES,3.2,MSP
LIMPIEZA INTEGRAL DE LOCALES,0,MT
LIMPIEZA INTEGRAL DE LOCALES,0.7,MTOP
LIMPIEZA INTEGRAL DE LOCALES,0.7,MTSS
LIMPIEZA INTEGRAL DE LOCALES,1.3,MVOTMA
LIMPIEZA INTEGRAL DE LOCALES,3.9,OSE
LIMPIEZA INTEGRAL DE LOCALES,1.8,P. Legislativo
LIMPIEZA INTEGRAL DE LOCALES,8.5,PJ
LIMPIEZA INTEGRAL DE LOCALES,1.9,Presidencia
LIMPIEZA INTEGRAL DE LOCALES,43.6,UTE
LIMPIEZA INTEGRAL DE LOCALES,0,UTEC
LIMPIEZA INTEGRAL DE LOCALES,2.3,UdelaR
MAQUINA TRAGAMONEDAS,3.5,I. Montevideo
MAQUINA TRAGAMONEDAS,32.7,MEF
RENOVACION DE LICENCIA DE SOFTWARE,0.5,ANC
RENOVACION DE LICENCIA DE SOFTWARE,0.1,ANEP
RENOVACION DE LICENCIA DE SOFTWARE,0.4,ANP
RENOVACION DE LICENCIA DE SOFTWARE,2.6,ASSE
RENOVACION DE LICENCIA DE SOFTWARE,292.8,BCU
RENOVACION DE LICENCIA DE SOFTWARE,6.9,Div.Créd.
RENOVACION DE LICENCIA DE SOFTWARE,2.2,I. Canelones
RENOVACION DE LICENCIA DE SOFTWARE,0.4,I. Montevideo
RENOVACION DE LICENCIA DE SOFTWARE,0.2,INAU
RENOVACION DE LICENCIA DE SOFTWARE,0,INUMET
RENOVACION DE LICENCIA DE SOFTWARE,0.8,MDN
RENOVACION DE LICENCIA DE SOFTWARE,2.9,MEC
RENOVACION DE LICENCIA DE SOFTWARE,5.2,MEF
RENOVACION DE LICENCIA DE SOFTWARE,0,MGAP
RENOVACION DE LICENCIA DE SOFTWARE,0.6,MI
RENOVACION DE LICENCIA DE SOFTWARE,0,MIDES
RENOVACION DE LICENCIA DE SOFTWARE,0.1,MIEM
RENOVACION DE LICENCIA DE SOFTWARE,0.1,MRREE
RENOVACION DE LICENCIA DE SOFTWARE,0.5,MSP
RENOVACION DE LICENCIA DE SOFTWARE,0.4,MT
RENOVACION DE LICENCIA DE SOFTWARE,0.3,MTOP
RENOVACION DE LICENCIA DE SOFTWARE,0.3,MTSS
RENOVACION DE LICENCIA DE SOFTWARE,0,MVOTMA
RENOVACION DE LICENCIA DE SOFTWARE,0.7,P. Legislativo
