articulo,Total,organismo_sigla
ARRENDAMIENTO DE LOCAL,0,ANEP
ARRENDAMIENTO DE LOCAL,0.1,BROU
ARRENDAMIENTO DE LOCAL,0.1,I. Canelones
ARRENDAMIENTO DE LOCAL,0,INAU
ARRENDAMIENTO DE LOCAL,209.9,MEF
CAMION DOBLE CABINA,1084.6,I. Rivera
CAMION DOBLE CABINA,0.3,I. Río Negro
CAMION DOBLE CABINA,0.3,I. Salto
CAMION DOBLE CABINA,1.2,UTE
CONTENEDOR METALICO PARA RESIDUOS - NORMA UNIT 10571,37.9,I. Montevideo
CONTRATACION DE MANO DE OBRA,5.5,ANC
CONTRATACION DE MANO DE OBRA,0.1,ANCAP
CONTRATACION DE MANO DE OBRA,281.7,ANP
CONTRATACION DE MANO DE OBRA,0.1,ASSE
CONTRATACION DE MANO DE OBRA,0,BPS
CONTRATACION DE MANO DE OBRA,0,BSE
CONTRATACION DE MANO DE OBRA,0.3,I. Canelones
CONTRATACION DE MANO DE OBRA,0,INAU
CONTRATACION DE MANO DE OBRA,0,MDN
CONTRATACION DE MANO DE OBRA,0,MEC
CONTRATACION DE MANO DE OBRA,0,MEF
CONTRATACION DE MANO DE OBRA,0.5,MGAP
CONTRATACION DE MANO DE OBRA,0.4,MI
CONTRATACION DE MANO DE OBRA,0.8,MRREE
CONTRATACION DE MANO DE OBRA,0,MT
CONTRATACION DE MANO DE OBRA,1.5,MTOP
CONTRATACION DE MANO DE OBRA,0,MTSS
CONTRATACION DE MANO DE OBRA,94,OSE
CONTRATACION DE MANO DE OBRA,0,PJ
CONTRATACION DE MANO DE OBRA,0.4,Presidencia
CONTRATACION DE MANO DE OBRA,273.6,UTE
CONTRATACION DE MANO DE OBRA,0.1,UTEC
CONTRATACION DE MANO DE OBRA,0.5,UdelaR
"DIETA, RACION, COMIDA PREPARADA",0,ANEP
"DIETA, RACION, COMIDA PREPARADA",0,ASSE
"DIETA, RACION, COMIDA PREPARADA",5.4,BPS
"DIETA, RACION, COMIDA PREPARADA",0.6,INAU
"DIETA, RACION, COMIDA PREPARADA",0,MDN
"DIETA, RACION, COMIDA PREPARADA",0,MI
"DIETA, RACION, COMIDA PREPARADA",0,MIDES
"DIETA, RACION, COMIDA PREPARADA",0,Presidencia
IMPRESION DE AFICHE,0,ANC
IMPRESION DE AFICHE,0.2,ANEP
IMPRESION DE AFICHE,0,ASSE
IMPRESION DE AFICHE,0,Div.Créd.
IMPRESION DE AFICHE,0,I. Canelones
IMPRESION DE AFICHE,0,I. Montevideo
IMPRESION DE AFICHE,0,I. Paysandú
IMPRESION DE AFICHE,0,INAU
IMPRESION DE AFICHE,0,MDN
IMPRESION DE AFICHE,0,MEC
IMPRESION DE AFICHE,0,MEF
IMPRESION DE AFICHE,0,MGAP
IMPRESION DE AFICHE,0,MI
IMPRESION DE AFICHE,0,MIEM
IMPRESION DE AFICHE,0,MSP
IMPRESION DE AFICHE,0,MT
IMPRESION DE AFICHE,0,MTSS
IMPRESION DE AFICHE,0,Presidencia
LIMPIEZA INTEGRAL DE LOCALES,0.7,ANC
LIMPIEZA INTEGRAL DE LOCALES,12.7,ANCAP
LIMPIEZA INTEGRAL DE LOCALES,10.5,ANEP
