organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
MDN,2017.1,294,2017,1,1,Cuartil 4,4
MDN,2017.2,243,2017,2,2,Cuartil 4,4
MDN,2017.3,236,2017,3,3,Cuartil 4,4
MDN,2017.4,266,2017,4,4,Cuartil 4,4
MEC,2017.1,70,2017,1,1,Cuartil 2,2
MEC,2017.2,32,2017,2,2,Cuartil 2,2
MEC,2017.3,36,2017,3,3,Cuartil 2,2
MEC,2017.4,92,2017,4,4,Cuartil 3,3
MEF,2017.1,164,2017,1,1,Cuartil 4,4
MEF,2017.2,111,2017,2,2,Cuartil 3,3
MEF,2017.3,93,2017,3,3,Cuartil 3,3
MEF,2017.4,151,2017,4,4,Cuartil 4,4
MGAP,2017.1,89,2017,1,1,Cuartil 3,3
MGAP,2017.2,22,2017,2,2,Cuartil 2,2
MGAP,2017.3,92,2017,3,3,Cuartil 3,3
MGAP,2017.4,34,2017,4,4,Cuartil 2,2
MI,2017.1,347,2017,1,1,Cuartil 4,4
MI,2017.2,159,2017,2,2,Cuartil 4,4
MI,2017.3,579,2017,3,3,Cuartil 4,4
MI,2017.4,380,2017,4,4,Cuartil 4,4
MIDES,2017.1,150,2017,1,1,Cuartil 3,3
MIDES,2017.2,79,2017,2,2,Cuartil 3,3
MIDES,2017.3,107,2017,3,3,Cuartil 3,3
MIDES,2017.4,51,2017,4,4,Cuartil 2,2
MIEM,2017.1,13,2017,1,1,Cuartil 1,1
MIEM,2017.2,7,2017,2,2,Cuartil 1,1
MIEM,2017.3,9,2017,3,3,Cuartil 1,1
MIEM,2017.4,21,2017,4,4,Cuartil 2,2
MRREE,2017.1,15,2017,1,1,Cuartil 1,1
MRREE,2017.2,16,2017,2,2,Cuartil 2,2
MRREE,2017.3,33,2017,3,3,Cuartil 2,2
MRREE,2017.4,12,2017,4,4,Cuartil 1,1
MSP,2017.1,39,2017,1,1,Cuartil 2,2
MSP,2017.2,451,2017,2,2,Cuartil 4,4
MSP,2017.3,125,2017,3,3,Cuartil 3,3
MSP,2017.4,139,2017,4,4,Cuartil 3,3
MT,2017.1,73,2017,1,1,Cuartil 3,3
MT,2017.2,6,2017,2,2,Cuartil 1,1
MT,2017.3,14,2017,3,3,Cuartil 1,1
MT,2017.4,12,2017,4,4,Cuartil 1,1
MTOP,2017.1,225,2017,1,1,Cuartil 4,4
MTOP,2017.2,178,2017,2,2,Cuartil 4,4
MTOP,2017.3,112,2017,3,3,Cuartil 3,3
MTOP,2017.4,179,2017,4,4,Cuartil 4,4
MTSS,2017.1,18,2017,1,1,Cuartil 2,2
MTSS,2017.2,11,2017,2,2,Cuartil 1,1
MTSS,2017.3,5,2017,3,3,Cuartil 1,1
