denominacion_social,organismo_sigla,total,prop
CONSORCIO PPP RUTAS DEL LITORAL SOCIEDAD ANÓNIMA,"MTOP
20.61%",6645897216,20.61
EFICE SA,"OSE
5.3%",1708759721.2590501,5.3
USA880461467,"BCU
2.7%",872117952,2.7
COMPAÑIA ELECTROTECNICA INDUSTRIAL S R L,"UTE
1.56%",503275359.444,1.56
DUCELIT S A,"I. Canelones
1.53%",494618160,1.53
INDUSTRIA SULFURICA S A,"OSE
1.31%",421376227.828,1.31
FAVELAN SOCIEDAD ANONIMA,"I. Canelones
1.23%",395694528,1.23
MONTELECNOR SOCIEDAD ANONIMA,"UTE
0.94%",303938084.70194536,0.94
ESPINA OBRAS HIDRAULICAS S A,"OSE
0.9%",291790347.2601,0.9
SDC DE BRASIL SERVICIOS MARITIMOS LIMITADA,"ANP
0.65%",210833997,0.65
