ids,articulo,organismo_sigla,Total
ANC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANC,0.2
ANEP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANEP,0
ANP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ANP,13.7
ASSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,ASSE,0.4
BSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,BSE,0
I. Canelones-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Canelones,0.2
I. Colonia-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,I. Colonia,0.3
INAU-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,INAU,0
MDN-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MDN,1.4
MEC-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEC,0.1
MEF-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MEF,0
MGAP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MGAP,0.9
MI-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MI,0.4
MIDES-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MIDES,0.1
MIEM-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MIEM,0
MRREE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MRREE,0.2
MTOP-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTOP,0
MTSS-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,MTSS,0
OSE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,OSE,85.6
Presidencia-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,Presidencia,0.3
UTE-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UTE,227.3
UdelaR-CONTRATACION DE MANO DE OBRA,CONTRATACION DE MANO DE OBRA,UdelaR,0.8
ASSE-LIMPIEZA DE HOSPITAL,LIMPIEZA DE HOSPITAL,ASSE,0
BSE-LIMPIEZA DE HOSPITAL,LIMPIEZA DE HOSPITAL,BSE,1.8
MDN-LIMPIEZA DE HOSPITAL,LIMPIEZA DE HOSPITAL,MDN,0
UdelaR-LIMPIEZA DE HOSPITAL,LIMPIEZA DE HOSPITAL,UdelaR,0
ANC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANC,1.3
ANEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANEP,13.4
ANP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANP,2.5
ASSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ASSE,0
BHU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BHU,0
BPS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BPS,3.9
BROU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BROU,1.4
BSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BSE,1.1
Div.Créd.-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Div.Créd.,0
FGN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,FGN,1.5
I. Canelones-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Canelones,4.1
I. Montevideo-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Montevideo,56.2
INAU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INAU,0.8
INUMET-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INUMET,0.1
JUTEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,JUTEP,0
MDN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MDN,2.8
