anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2017,157,131,48,KILOGRAMOS
2017,157,141,35,KILOGRAMOS
2017,157,103,30,KILOGRAMOS
2017,157,229,5,KILOGRAMOS
2017,157,187,10,KILOGRAMOS
2017,157,137,80,KILOGRAMOS
2017,157,114,10,KILOGRAMOS
2017,157,179,40,KILOGRAMOS
2017,157,179,10,KILOGRAMOS
2017,157,157,200,KILOGRAMOS
2017,157,281,25,KILOGRAMOS
2017,157,226,5,KILOGRAMOS
2017,157,156,25,KILOGRAMOS
2017,157,185,10,KILOGRAMOS
2017,157,140,5,KILOGRAMOS
2017,157,91,10,KILOGRAMOS
2017,157,207,2,KILOGRAMOS
2017,157,192,30,KILOGRAMOS
2017,157,166,5,KILOGRAMOS
2017,157,137,10,KILOGRAMOS
2017,157,184,5,KILOGRAMOS
2017,157,112,50,KILOGRAMOS
2017,157,113,20,KILOGRAMOS
2017,157,206,3,KILOGRAMOS
2017,157,191,30,KILOGRAMOS
2017,157,94,42,KILOGRAMOS
2017,157,98,10,KILOGRAMOS
2017,157,191,15,KILOGRAMOS
2017,157,191,30,KILOGRAMOS
2017,157,197,300,KILOGRAMOS
2017,157,221,10,KILOGRAMOS
2017,157,184,10,KILOGRAMOS
2017,157,225,3,KILOGRAMOS
2017,157,96,120,KILOGRAMOS
2017,157,157,290,KILOGRAMOS
2017,157,123,450,KILOGRAMOS
2017,157,266,45,KILOGRAMOS
2017,157,98,2,KILOGRAMOS
2017,157,176,0.5,KILOGRAMOS
2017,157,252,120,KILOGRAMOS
2017,157,112,10,KILOGRAMOS
2017,157,190,100,KILOGRAMOS
2017,157,226,2,KILOGRAMOS
2017,157,111,6,KILOGRAMOS
2017,157,91,10,KILOGRAMOS
2017,157,225,20,KILOGRAMOS
2017,157,201,10,KILOGRAMOS
2017,157,154,35,KILOGRAMOS
2017,157,90,10,KILOGRAMOS
2017,157,206,100,KILOGRAMOS
2017,157,206,15,KILOGRAMOS
2017,157,226,2,KILOGRAMOS
2017,157,135,100,KILOGRAMOS
2017,157,200,5,KILOGRAMOS
2017,157,126,1,KILOGRAMOS
2017,157,175,21,KILOGRAMOS
2017,157,146,1,KILOGRAMOS
2017,157,110,10,KILOGRAMOS
2017,157,149,100,KILOGRAMOS
2018,157,135,35,KILOGRAMOS
2017,157,123,7,KILOGRAMOS
2017,157,225,2,KILOGRAMOS
2017,157,101,30,KILOGRAMOS
2018,157,136,1000,KILOGRAMOS
2018,157,88,60,KILOGRAMOS
2017,157,86,3,KILOGRAMOS
2017,157,199,10,KILOGRAMOS
2017,157,137,180,KILOGRAMOS
2017,157,150,16,KILOGRAMOS
2017,157,260,10,KILOGRAMOS
2017,157,260,5,KILOGRAMOS
2017,157,281,10,KILOGRAMOS
2017,157,88,5700,KILOGRAMOS
2018,157,90,84,KILOGRAMOS
2017,157,126,48,KILOGRAMOS
2017,157,198,5,KILOGRAMOS
2017,157,97,30,KILOGRAMOS
2017,157,204,80,KILOGRAMOS
2017,157,204,10,KILOGRAMOS
2017,157,199,40,KILOGRAMOS
2017,157,152,20,KILOGRAMOS
2017,157,94,3,KILOGRAMOS
2017,157,204,80,KILOGRAMOS
2017,157,204,15,KILOGRAMOS
2018,157,150,120,KILOGRAMOS
2017,157,156,12,KILOGRAMOS
2018,157,219,7,KILOGRAMOS
2018,157,88,70,KILOGRAMOS
2018,157,218,1,KILOGRAMOS
2018,157,150,100,KILOGRAMOS
2018,157,231,20,KILOGRAMOS
2018,157,194,10,KILOGRAMOS
2018,157,276,3,KILOGRAMOS
2018,157,205,10,KILOGRAMOS
2018,157,105,2,KILOGRAMOS
2018,157,150,12,KILOGRAMOS
2018,157,173,215,KILOGRAMOS
2018,157,229,2,KILOGRAMOS
2018,157,94,20,KILOGRAMOS
2018,157,178,78,KILOGRAMOS
2018,157,106,400,KILOGRAMOS
2018,157,180,20,KILOGRAMOS
2018,157,180,10,KILOGRAMOS
2018,157,128,3,KILOGRAMOS
2018,157,135,5,KILOGRAMOS
2018,157,229,1,KILOGRAMOS
2018,157,94,10,KILOGRAMOS
2018,157,200,1,KILOGRAMOS
2018,157,224,3,KILOGRAMOS
2018,157,147,60,KILOGRAMOS
2018,157,191,10,KILOGRAMOS
2018,157,97,140,KILOGRAMOS
2018,157,190,5,KILOGRAMOS
2018,157,121,36,KILOGRAMOS
2018,157,190,5,KILOGRAMOS
2018,157,265,2,KILOGRAMOS
2018,157,232,80,KILOGRAMOS
2018,157,230,3,KILOGRAMOS
