"articulo","iditem","cod_familia","cod_sub_familia"
"CONTRATACION DE ARTISTA",3625,3,9
"REPARACION DE FOTOCOPIADORA",2836,3,7
"TIMBRE PROFESIONAL",10233,2,4
"CONO DE RODAMIENTO DE RUEDA DELANTERA",13399,2,12
"REPARACION DE FRENO DE DISCO DE EQUIPO DE TRANSPORTE",8670,3,7
"JABON EN BARRA",6253,2,6
"ROLON DE PAPEL HIGIENICO PARA DISPENSADOR",9865,2,4
"CERA AL AGUA",1240,2,6
"PAPEL TOALLA",22,2,4
"ESPONJA PARA COCINA",12404,2,9
"LIQUIDO LIMPIADOR DESODORANTE (CONCENTRADO)",14687,2,6
"HIPOCLORITO DE SODIO SOLUCION",551,2,6
"PULIDOR",2542,2,6
"BALDE PLASTICO",78,2,6
"PAÑO REJILLA",216,2,9
"DETERGENTE LIQUIDO USO DOMESTICO",39,2,6
"GUANTES DE GOMA CORTOS DE USO DOMESTICO",32,2,9
"CREOLINA",37,2,6
"PAÑO PARA PISO",215,2,9
"BOLSA DE NYLON",28601,2,6
"LIMPIAVIDRIOS LIQUIDO",42,2,6
"INSECTICIDA PARA USO DOMESTICO",8602,2,6
"PILA COMUN",6575,2,9
"LAMPARA INCANDESCENTE LUZ DIA",3442,2,9
"DETERGENTE LIQUIDO PARA VEHICULOS",457,2,6
"LAMPARA FLUORESCENTE COMPACTA",7838,2,9
"LAMPAZO DE GOMA CON MANGO",34752,2,9
"CERA PARA PISO DE MADERA",1242,2,6
"ESCOBA",8937,2,9
"LUSTRAMUEBLE",13516,2,6
"PALA DE PLASTICO",11897,2,6
"PAPEL HIGIENICO",21,2,4
"JABON DE TOCADOR",43,2,9
"LIMPIADOR REMOVEDOR",12384,2,6
"PILA ALCALINA",2609,2,9
"LIMPIAMETAL",41,2,6
"JABON EN PASTA PARA MANOS",418,2,6
"PASTA DE LIMPIEZA PARA MANOS CON CREOLINA",13738,2,6
"SILICONA EN SPRAY",32718,2,9
"DESODORANTE DE AMBIENTE EN AEROSOL",29637,2,6
"FRANELA",214,2,9
"JABON LIQUIDO DE TOCADOR",6398,2,9
"ESCOBILLA PARA INODORO",439,2,9
"BATERIA DE 12V (LIQUIDO)",7549,2,9
"CONTRATACION DE MANO DE OBRA",28031,3,9
"PAPEL SULFITO",14,2,4
"CHINCHES",534,2,9
"REPARACION DE CONTROLADOR DE LUCES",13336,3,7
"SERVICIO DE DESPACHANTE DE ADUANA",8208,3,8
"ESMALTE SINTETICO",49,2,6
"HILO DE POLIETILENO TORNEADO",969,2,6
"REPARACION DE RED DE AGUA (ABASTECIMIENTO)",8387,6,8
"MANTENIMIENTO DE AREAS VERDES",8513,3,7
"MANTENIMIENTO Y REP. DE CHAPA Y PINTURA PARA EQUIPOS DE TRANSPORTE",26521,3,7
"BIBLIOTECA DE MADERA DOBLE PUERTA CORREDIZA",9978,4,8
"REACTIVO DE UREA CINETICA UV",22023,2,6
"REACTIVO DE FOSFATASA ALCALINA",21979,2,6
"REACTIVO PARA DETERMINACION DE GAMMA GLUTAMIL TRANSPEPTIDASA (GGT)",21982,2,6
"SERVICIO DE TISANERIA",27531,3,9
"GARRAFA A SUPERGAS",29535,2,8
"SOLAPERO EN METAL",26630,2,9
"SUSCRIPCION A PUBLICACION",1801,3,2
"PANTALON DE TRABAJO UNISEX",76172,2,3
"CAMISA CAMUFLADA MANGA LARGA",14454,2,3
"TRANSPORTE EN AUTOMOVIL CON CHOFER DENTRO DEL PAIS",773,3,3
"SERVICIO DE ALOJAMIENTO",3624,3,9
"CONFECCION DE CARPETA",12817,3,2
"SERVICIO DE EMERGENCIA MEDICA",1125,3,9
"REPARACION DE CAMARA HIPERBARICA",8384,3,7
"SERVICIO DE BALANCEO PARA EQUIPO DE TRANSPORTE",6528,3,7
"RECARGA DE EXTINTOR",14398,3,1
"REPARACION DE INSTALACION ELECTRICA",7369,3,7
"LIMPIEZA INTEGRAL DE LOCALES",7022,3,9
"SERVICIOS PROFESIONALES CONTRATADOS PARA INVESTIGACIONES CIENTIFICAS",932,3,8
"DISPOSITIVO INALAMBRICO DE ACCESO A RED (ACCESS POINT)",27758,4,2
"TARJETA DE RED INALAMBRICA",27759,10,43
"ACELERADOR DE GRAFICOS DE VIDEO",1844,10,43
"MANTENIMIENTO DE CENTRAL TELEFONICA",2816,3,7
"COLOCACION DE ALAMBRADO",9223,3,7
"BATERIA DE 12V (GEL)",3115,2,9
"AFICHES Y FOLLETOS IMPRESOS",2918,3,2
"MOUSE",1831,10,43
"MEMORIA DDR",14779,10,43
"TARJETA DE PUERTOS USB",12616,10,43
"TECLADO ESTANDAR",6611,10,43
"FUENTE DE ALIMENTACION PARA COMPUTADOR",11185,10,43
"CD DE SOLO LECTURA (CD-R)",1885,10,43
"PASAJE EN OMNIBUS DENTRO DEL PAIS",772,3,3
"CAÑO PVC ALTA PRESION (10KG/CM2)",24614,2,6
"MARCO DE HORMIGON",10491,2,7
"DISCO DURO IDE",1853,10,43
"TEXTO Y PUBLICACION OFICIAL",8194,2,4
"MANTENIMIENTO DE ACUARIO",28166,3,7
"PUBLICIDAD EN PERIODICOS",754,3,2
"PUBLICIDAD RODANTE",758,3,2
"MANTENIMIENTO DE EQUIPO DUPLICADOR",1120,3,7
"ALAMBRE DE HIERRO ACERADO",889,2,8
"TENSOR OJO-GANCHO",4810,2,8
"MANTENIMIENTO DE SISTEMA GEX",28334,3,9
"CORTINADO",2924,2,3
"SERVICIO DE RADIO AVISO",4575,3,9
"IMPRESION DE TARJETA",10464,3,2
"ADAPTADOR PARA TOMACORRIENTE",10441,2,9
"FONDO ANTIOXIDO",12988,2,6
"MANTENIMIENTO DE EQUIPO DE RAYOS X",26757,3,7
"CERA LUSTRE LIQUIDO",1241,2,6
"CARTUCHO DE TINTA PARA IMPRESORA",1879,2,9
"CENTELLOGRAMA RENAL",33282,3,8
"DOSIFICACION TERAPEUTICA DE IODO",27511,3,8
"REVELADO DE FOTOGRAFIA",6690,3,2
"PELICULA DE 35 MM.",1074,2,6
"CABLE FORRADO SUPERPLASTICO",12964,2,9
"FICHA TIPO SCHUKO MACHO",6921,2,9
"GRAPA PARA MADERA",32947,2,8
"CINTA AISLADORA",1968,2,9
"DUCTO DE PISO PARA INSTALACION ELECTRICA",7835,2,6
"METRO DE MADERA",4906,2,7
"CINTA METRICA DE PRECISION",15729,2,9
"SERRUCHO DE PUNTA",15452,2,8
