"variable","descripcion"
"articulo","nombre del articulo"
"iditem","identificador del articulo"
"cod_fam","codigo familia"
"cod_subfam","codigo sub-familia"
"familia","descripcion familia"
"sub_familia","descripcion sub-familia"
"cod_subfam","codigo sub-familia"
"codigo_fiscal","RUT proveedor"
"denominacion_social","denominacion social de proveedor"
"fecha","fecha de la compra"
"ocid","identificador de la compra"
"monto_item","monto unitario del articulo en pesos constantes de 2010"
"cantidad","cantidad comprada del articulo"
"unidad","unidad de presentación del artículo"
"monto_compra","monto total de la compra"
"organismo_sigla","organismo comprador"
"cod_compra","codigo del tipo de compra"
"url","link a la compra en la web de ARCE"
